,0,1
0,C:\Users\Francois\GitHub\ImageTask\500_clothing\500_clothing_handbag\500_handbag13_f_3330147824_3c1717a2e7_o.jpg,[-250. -250.]
1,C:\Users\Francois\GitHub\ImageTask\gs_318364508_17317b9b36_o.jpg,[-250.  250.]
2,C:\Users\Francois\GitHub\ImageTask\500_food\500_food_ice_cream\500_ice_cream5_f_9890290903_5df8ab21f6_o.jpg,[ 250. -250.]
3,C:\Users\Francois\GitHub\ImageTask\500_clothing\500_clothing_camisole\500_camisole13_p_biceps-brawny-brick-wall-1842868.jpg,[-250. -250.]
4,C:\Users\Francois\GitHub\ImageTask\gs_318364508_17317b9b36_o.jpg,[-250. -250.]
5,C:\Users\Francois\GitHub\ImageTask\500_clothing\500_clothing_pant\500_pant16_f_16586135172_29921eb94d_o.jpg,[ 250. -250.]
